measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
Deaths,Low-middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6886382482621513,-0.5212324276493672,-0.776464512724217
Deaths,Low-middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7243064626213483,-0.6681959089431229,-0.7856202998948365
Deaths,Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7071446519077769,-0.6110171225239373,-0.7721119312055619
Deaths,Low-middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,14.500187953455663,47.16954802227397,3.7782820444030345
Deaths,Low-middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,13.525133831937564,43.21225446972634,3.422196940254365
Deaths,Low-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,13.918667271855194,43.5671119922623,3.621374305619262
Deaths,Middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,0.16381569261117915,2.8089484698196676,-0.6143709748873026
Deaths,Middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.07028652433680944,1.9096728145372033,-0.6644725804970091
Deaths,Middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,0.06262521830351926,2.395446865324874,-0.6375498914052931
Deaths,Low SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6298533532398848,-0.44718516996388946,-0.7132615889987968
Deaths,Low SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6604759972747706,-0.5961468750608173,-0.7131853999418086
Deaths,Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6452087773577557,-0.5458502552262549,-0.7063874290556887
Deaths,Middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.737011322900512,-0.5644426607119352,-0.7995535886989026
Deaths,Middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7898872463714921,-0.7602239073399679,-0.8189713748609235
Deaths,Middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7585366678543537,-0.6704600291453852,-0.7977805119369017
Deaths,Middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7176042219194427,-0.5303761531844463,-0.7800680491622426
Deaths,Middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7734977005876275,-0.7439054722566527,-0.7974572036715291
Deaths,Middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7403786347239032,-0.6383558450036709,-0.7786590100587214
DALYs (Disability-Adjusted Life Years),High-middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7991527604507221,-0.715855917103577,-0.8427328041230033
DALYs (Disability-Adjusted Life Years),High-middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8279543499747349,-0.7903908661317498,-0.8536529186510504
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8065481251725759,-0.7534522690012876,-0.8414838171285417
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8294313635297131,-0.7875519060584942,-0.8493593049940742
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.8023717680290405,-0.7683604228416885,-0.8239527996555678
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.817628422184155,-0.7851563701940603,-0.8363184331667632
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8345847874246967,-0.7938292034766417,-0.8542088971279018
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8078312917644682,-0.7727567080449749,-0.8293367555123989
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.8230185592174285,-0.7909138095699348,-0.8417810748572051
DALYs (Disability-Adjusted Life Years),High SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6746499273889099,-0.3594436384070606,-0.8386037796603557
DALYs (Disability-Adjusted Life Years),High SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6044310355786154,-0.09698793879310857,-0.8244576916216195
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.6467863382169393,-0.29419131331854503,-0.8271230060217551
DALYs (Disability-Adjusted Life Years),Low SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6217771226910431,-0.4545349955284298,-0.6880488848822717
DALYs (Disability-Adjusted Life Years),Low SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6785138944108031,-0.6283646609608444,-0.7209435472391112
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6484579911379661,-0.5606627010024456,-0.69544649299127
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6623755608824977,-0.5002727958308866,-0.7375051765161733
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.7163132953290821,-0.6704918197190479,-0.7734534908513495
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6881919679446309,-0.6033544313750719,-0.7334805596742029
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6312597594715035,-0.4729055526274216,-0.6934496889732575
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6747836148199692,-0.630667525126286,-0.7123491368352082
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Tuberculosis,Rate,1990,2021,-0.6484512509740588,-0.5674680062750572,-0.6880785089378488
DALYs (Disability-Adjusted Life Years),Low SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6521996737245772,-0.491618892504165,-0.7193541566311965
DALYs (Disability-Adjusted Life Years),Low SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7030665501600578,-0.6549613475602305,-0.7494262971125272
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6761498451394272,-0.5940755027723639,-0.7253806965181475
DALYs (Disability-Adjusted Life Years),Low SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,7.2979405827277635,16.756118259766403,2.944791871147555
DALYs (Disability-Adjusted Life Years),Low SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,6.199150687250309,13.887339288490129,2.4740848506533992
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,6.7877012617783,14.875321435323754,2.735984377469389
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6629327299336312,-0.5222838282478737,-0.723901657861761
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.702598524477,-0.6542243546051681,-0.7424995954382607
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6786251127103136,-0.6032308234796737,-0.7225653885885065
DALYs (Disability-Adjusted Life Years),Middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,0.22352159565716107,3.1269185069247425,-0.5905926447567766
DALYs (Disability-Adjusted Life Years),Middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,-0.030029993691523375,2.1719619225286833,-0.6623382713131263
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,0.11213705348203995,2.6483524814138018,-0.6207037726855054
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.6963705639724941,-0.5542332404705708,-0.7720397236361283
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7462522334445897,-0.7025184214428777,-0.7977849347619137
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1990,2021,-0.7201926591712637,-0.6426588234374384,-0.7770195116591513
DALYs (Disability-Adjusted Life Years),Global,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.6628083707721495,8.286363221453414,0.47648804678935636
DALYs (Disability-Adjusted Life Years),Global,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.656228849156741,7.5602636391028515,0.5409242959465155
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,2.679979385156393,7.700760609641689,0.5296809642868433
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Male,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,13.863495797315808,43.54948640110646,3.513259641103784
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Female,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,11.980510567112077,38.646918050187566,3.1353605103458078
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1990,2021,12.941116343449536,40.88521310770456,3.2888073048041573
