measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,2006,0.29604921485271196,0.5511021550367576,0.14617227909192784
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,2006,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1995,374.64483782635455,403.2233084571674,346.8793251602758
DALYs (Disability-Adjusted Life Years),Low SDI,Both,Age-standardized,Tuberculosis,Rate,2006,3733.858733808775,4383.863941263678,3240.446675788018
DALYs (Disability-Adjusted Life Years),Middle SDI,Both,Age-standardized,Tuberculosis,Rate,2006,766.767711556265,810.1117616251672,724.5289005688576
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1997,300.050867723121,332.1606244935065,258.20541598914144
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Tuberculosis,Rate,1997,64.59137085452961,68.42613645873374,60.8101222018676
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1995,47.709165963659956,81.86896983190051,24.48409295297879
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1995,1.3940881384995802,2.5969929801754947,0.6903368585012811
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1995,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1996,369.04730433329127,393.87472378617065,342.80462788203334
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1999,284.31927527033196,317.8157930113367,240.94086841396253
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Tuberculosis,Rate,1999,57.47500620479905,60.92300365572699,54.18178502641106
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1998,53.29368273017745,91.38499406708982,29.089529467167985
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1998,3.383315224640159,6.023878598410121,1.7160397855763063
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Latent tuberculosis infection,Rate,1998,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,Tuberculosis,Rate,2007,1038.2341677330373,1116.3296244209378,949.3412949378762
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1995,69.13329473636918,73.85434209533975,63.772054771182276
DALYs (Disability-Adjusted Life Years),High SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1995,4.300666192984873,7.947715427940313,2.1640713496824646
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Tuberculosis,Rate,1995,3252.1750010090536,3581.834067077178,2862.7473404876073
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1999,2821.9686329282795,3096.2747911806205,2505.5935402223113
DALYs (Disability-Adjusted Life Years),High-middle SDI,Both,Age-standardized,Drug-susceptible tuberculosis,Rate,1998,285.95079420163734,318.5409306373608,244.3575940735026
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Multidrug-resistant tuberculosis without extensive drug resistance,Rate,1999,155.98592691966525,349.6756913687135,57.07052831722732
DALYs (Disability-Adjusted Life Years),Low-middle SDI,Both,Age-standardized,Extensively drug-resistant tuberculosis,Rate,1999,2.914860906217558,6.554847926269083,1.056184319626388
